390 485 1 390 5
1 2 3
1 28 17
2 3 6
3 4 11
3 30 14
4 5 1
5 6 4
5 32 12
6 7 1
7 8 3
7 34 15
8 9 12
9 10 12
9 36 10
10 11 1
11 12 2
11 38 11
12 13 16
13 14 6
13 40 7
14 15 11
15 16 8
15 42 3
16 17 13
17 18 7
17 44 2
18 19 10
19 46 3
20 21 3
21 22 12
21 48 10
22 23 1
23 50 1
24 25 4
25 26 17
25 52 18
26 27 9
27 54 9
28 29 7
29 30 7
29 57 7
30 31 15
31 32 10
31 59 2
32 33 15
33 34 16
33 61 8
34 35 16
35 36 1
35 63 10
37 38 1
37 65 6
38 39 11
39 67 3
40 41 1
41 42 18
41 69 8
42 43 5
44 45 2
45 46 3
46 47 9
47 48 13
47 75 6
48 49 11
49 50 13
49 77 10
50 51 17
51 52 9
51 79 9
52 53 2
53 54 10
53 81 13
55 83 16
56 57 15
57 58 14
58 86 7
59 60 3
60 61 16
60 88 7
61 62 3
62 63 2
62 90 6
63 64 12
64 65 7
64 92 18
65 66 12
66 67 9
66 94 17
67 68 2
68 69 6
68 96 2
69 70 8
70 71 16
70 98 4
71 72 19
72 73 6
72 100 10
74 75 14
74 102 8
75 76 6
76 77 2
76 104 13
77 78 11
78 79 3
78 106 2
80 81 8
80 108 1
81 82 16
82 83 4
82 110 19
84 85 3
85 86 3
85 113 13
86 87 16
87 88 4
87 115 8
88 89 7
89 90 2
89 117 16
90 91 4
91 92 2
91 119 11
92 93 1
93 94 16
93 121 11
94 95 2
95 96 17
95 123 10
96 97 14
97 125 2
98 99 6
99 100 14
99 127 6
100 101 3
101 102 7
101 129 4
103 104 16
103 131 6
105 106 2
105 133 12
106 107 11
107 135 7
108 109 14
109 137 4
110 111 7
111 139 8
112 113 15
112 140 19
114 115 17
115 116 6
116 117 5
117 118 5
118 119 10
118 146 4
119 120 14
120 121 18
120 148 4
122 123 6
122 150 4
123 124 15
124 125 12
124 152 2
125 126 5
126 127 11
126 154 11
128 129 12
128 156 17
129 130 12
130 131 16
130 158 19
131 132 12
132 133 11
132 160 15
133 134 3
134 135 11
134 162 13
136 137 1
136 164 19
137 138 5
138 139 14
138 166 15
140 141 12
141 142 3
141 169 13
142 143 12
143 144 6
143 171 2
144 145 6
145 146 1
145 173 15
146 147 4
147 148 7
147 175 1
148 149 8
149 150 15
149 177 13
150 151 8
151 152 11
151 179 14
152 153 8
153 154 10
153 181 2
154 155 2
155 156 7
155 183 17
157 158 11
157 185 5
158 159 6
159 160 3
159 187 15
160 161 18
161 162 8
161 189 12
162 163 2
163 191 19
164 165 6
165 166 12
165 193 10
166 167 9
167 195 16
168 196 6
169 170 4
170 171 16
170 198 5
172 173 11
172 200 9
173 174 10
174 175 11
174 202 1
176 177 8
176 204 11
177 178 4
178 206 10
179 180 16
180 181 15
180 208 11
181 182 10
182 183 9
182 210 8
183 184 14
184 185 1
184 212 12
185 186 9
186 214 19
187 188 1
188 216 19
190 191 1
190 218 13
191 192 16
192 193 1
192 220 11
194 222 12
196 197 3
197 198 18
197 225 9
198 199 11
199 200 1
199 227 17
200 201 10
201 202 19
201 229 12
203 204 11
203 231 5
204 205 5
205 206 14
205 233 11
206 207 4
207 208 1
207 235 13
209 210 9
209 237 12
211 212 18
212 213 1
213 214 10
