510 1254 1 510 4
1 2 3
1 32 10
2 1 3
2 3 16
3 2 16
3 34 14
4 5 13
5 4 13
5 6 1
5 36 12
6 5 1
7 8 6
7 38 4
8 7 6
8 9 16
9 8 16
9 40 19
10 11 14
11 10 14
11 12 12
11 42 5
12 11 12
12 13 6
13 12 6
13 14 8
13 44 12
14 13 8
14 15 17
15 14 17
15 16 1
15 46 13
16 15 1
16 17 15
17 16 15
17 18 17
17 48 14
18 17 17
18 19 5
19 18 5
19 20 19
19 50 9
20 19 19
20 21 8
21 20 8
21 22 3
21 52 5
22 21 3
22 23 17
23 22 17
23 24 1
23 54 17
24 23 1
24 25 10
25 24 10
25 26 4
25 56 12
26 25 4
26 27 2
27 26 2
27 28 13
27 58 3
28 27 13
28 29 4
29 28 4
29 30 17
29 60 11
30 29 17
30 31 8
31 30 8
31 62 8
32 1 10
32 33 7
33 32 7
33 34 5
33 65 8
34 3 14
34 33 5
35 36 18
35 67 10
36 5 12
36 35 18
36 37 16
37 36 16
37 38 7
38 7 4
38 37 7
39 40 2
40 9 19
40 39 2
40 41 16
41 40 16
41 42 7
41 73 5
42 11 5
42 41 7
42 43 9
43 42 9
43 44 2
43 75 1
44 13 12
44 43 2
44 45 9
45 44 9
45 46 3
45 77 14
46 15 13
46 45 3
46 47 5
47 46 5
47 48 3
47 79 1
48 17 14
48 47 3
48 49 16
49 48 16
49 50 4
49 81 18
50 19 9
50 49 4
50 51 13
51 50 13
51 52 12
51 83 13
52 21 5
52 51 12
53 85 16
54 23 17
54 55 1
55 54 1
55 56 1
55 87 8
56 25 12
56 55 1
56 57 2
57 56 2
57 89 3
58 27 3
58 59 11
59 58 11
59 60 9
59 91 9
60 29 11
60 59 9
60 61 12
61 60 12
61 62 1
61 93 14
62 31 8
62 61 1
62 63 1
63 62 1
63 95 10
64 65 11
64 96 1
65 33 8
65 64 11
65 66 13
66 65 13
66 67 7
66 98 10
67 35 10
67 66 7
67 68 15
68 67 15
68 69 12
68 100 17
69 68 12
69 70 13
70 69 13
70 71 16
70 102 17
71 70 16
71 72 1
72 71 1
72 73 11
73 41 5
73 72 11
74 75 8
74 106 5
75 43 1
75 74 8
76 77 10
77 45 14
77 76 10
77 78 9
78 77 9
78 79 3
78 110 3
79 47 1
79 78 3
79 80 6
80 79 6
80 81 8
80 112 10
81 49 18
81 80 8
81 82 18
82 81 18
82 114 3
83 51 13
83 84 14
84 83 14
84 85 14
85 53 16
85 84 14
85 86 18
86 85 18
86 87 11
86 118 5
87 55 8
87 86 11
87 88 18
88 87 18
88 89 1
88 120 14
89 57 3
89 88 1
89 90 13
90 89 13
90 91 13
90 122 17
91 59 9
91 90 13
92 93 14
93 61 14
93 92 14
93 94 15
94 93 15
94 95 13
95 63 10
95 94 13
96 64 1
96 97 8
97 96 8
97 98 1
97 129 10
98 66 10
98 97 1
98 99 10
99 98 10
99 100 9
99 131 4
100 68 17
100 99 9
100 101 7
101 100 7
101 102 12
101 133 18
102 70 17
102 101 12
102 103 9
103 102 9
103 104 10
103 135 18
104 103 10
104 105 8
105 104 8
105 106 13
105 137 14
106 74 5
106 105 13
106 107 16
107 106 16
107 108 4
107 139 7
108 107 4
108 109 6
109 108 6
109 110 14
110 78 3
110 109 14
111 112 6
111 143 12
112 80 10
112 111 6
112 113 2
113 112 2
113 114 1
113 145 6
114 82 3
114 113 1
115 116 2
115 147 14
116 115 2
117 118 5
117 149 2
118 86 5
118 117 5
118 119 15
119 118 15
119 120 12
119 151 18
120 88 14
120 119 12
120 121 16
121 120 16
121 122 6
121 153 14
122 90 17
122 121 6
122 123 8
123 122 8
123 124 14
123 155 5
124 123 14
124 125 16
125 124 16
125 126 17
125 157 12
126 125 17
126 127 2
127 126 2
127 159 4
128 129 6
128 160 13
129 97 10
129 128 6
130 131 9
130 162 19
131 99 4
131 130 9
131 132 3
132 131 3
132 133 15
132 164 11
133 101 18
133 132 15
133 134 6
134 133 6
134 135 12
134 166 17
135 103 18
135 134 12
135 136 8
136 135 8
136 137 7
137 105 14
137 136 7
137 138 10
138 137 10
138 139 6
138 170 2
139 107 7
139 138 6
139 140 10
140 139 10
140 141 13
140 172 6
141 140 13
141 142 10
142 141 10
142 143 1
143 111 12
143 142 1
144 145 10
144 176 16
145 113 6
145 144 10
145 146 1
146 145 1
146 147 7
