instance,cadical153
FRCSP_Instance_1.dzn,0.014119625091552734
FRCSP_Instance_10.dzn,t/o
FRCSP_Instance_11.dzn,t/o
FRCSP_Instance_12.dzn,t/o
FRCSP_Instance_13.dzn,t/o
FRCSP_Instance_14.dzn,t/o
FRCSP_Instance_15.dzn,t/o
FRCSP_Instance_16.dzn,t/o
FRCSP_Instance_2.dzn,0.011666536331176758
FRCSP_Instance_3.dzn,0.6041874885559082
FRCSP_Instance_4.dzn,0.36525408426920575
FRCSP_Instance_5.dzn,0.3558191458384196
FRCSP_Instance_6.dzn,0.35367759068806964
FRCSP_Instance_7.dzn,0.36705589294433594
FRCSP_Instance_8.dzn,t/o
FRCSP_Instance_9.dzn,t/o
